 Parameters:                
    label:                      2022-6-11-0-17-26-751890952
    numClients:                 160
    objectSize (MB):            0.250
    copies:                     0
 Tests:                     
    Operation:                  Write
    RPS:                        227.302
    Total Requests Count:       16000
    Errors Count:               0
    Total Throughput (MB/s):    56.826
    Total Duration (s):         70.391
    Total Transferred (MB):     4000.000
    Duration Max:               6.889
    Duration Avg:               0.697
    Duration Min:               0.062
    Ttfb Max:                   6.889
    Ttfb Avg:                   0.697
    Ttfb Min:                   0.062
    Duration 90th-ile:          1.874
    Duration 99th-ile:          3.916
    Ttfb 90th-ile:              1.874
    Ttfb 99th-ile:              3.916

    Operation:                  Read
    RPS:                        425.603
    Total Requests Count:       16000
    Errors Count:               0
    Total Throughput (MB/s):    106.401
    Total Duration (s):         37.594
    Total Transferred (MB):     4000.000
    Duration Max:               1.600
    Duration Avg:               0.374
    Duration Min:               0.080
    Ttfb Max:                   1.072
    Ttfb Avg:                   0.280
    Ttfb Min:                   0.054
    Duration 90th-ile:          0.710
    Duration 99th-ile:          1.046
    Ttfb 90th-ile:              0.478
    Ttfb 99th-ile:              0.703
