=== 4kb, first === 
w,431705856
w,6722048
w,6262016


=== start ===
w,8428800
w,11115008
w,5829632
w,6111232
w,7045888
w,6162688
w,6366208
w,6444800
w,6426112
w,6459904


=== start ===
w,6838272
w,10404864
w,5745664
w,6337024
w,6227200


=== start ===
w,6.780
w,17.835
w,13.852
w,5.876
w,6.312


=== start ===
w,6.591
w,15.615
w,14.587
w,6.730
w,6.987
w,6.394
w,6.540
w,6.472
w,6.888
w,6.383


=== start ===
w,6.279
w,15.218
w,5.890
w,6.260
w,6.092
w,6.199
w,12.017
w,6.057
w,6.253
w,6.462


=== 16kb first ===
w,428.786
w,7.794
w,7.283
w,7.760
w,8.108
w,7.262
w,7.330
w,7.419
w,8.038
w,7.318
average,49.710

=== start ===
w,7.879
w,15.368
w,8.733
w,9.277
w,7.357
w,7.301
w,7.273
w,7.466
w,7.873
w,7.580
average,8.611

=== start ===
w,7.546
w,12.774
w,17.195
w,7.454
w,7.425
w,7.305
w,7.084
w,7.854
w,38.883
w,7.692
average,12.121


=== start ===
w,7.624
w,17.560
w,16.512
w,7.760
w,7.831
w,6.789
w,7.306
w,7.117
w,7.513
w,7.129
average,9.314
